substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
304450,13,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,le_50km
306279,12,OLINDA,ROWLAND HEIGHTS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_50km
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_50km
300429,11,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,le_50km
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_50km
301105,10,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,le_50km
308786,10,LA CIENEGA,LADERA HEIGHTS,SCE,230,3,transit,transit transit_hub_not_source,False,0.6,230,3,True,True,False,2,ok,le_50km
301558,10,EAGLE ROCK,GLENDALE,SCE,230,9,,,,,230,9,False,True,True,2,ok,le_50km
301543,9,SEPLUVEDA,EL SEGUNDO,SCE,66,0,,,,,66,0,False,False,False,0,ok,le_50km
308494,9,AIRWAY,GLENDALE,LADWP,230,6,,,,,230,6,False,True,True,2,ok,le_50km
302187,9,DEL AMO,CERRITOS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_50km
301637,8,STATION N (AIRPORT),LOS ANGELES,LADWP,138,4,,,,,138,4,False,True,False,1,ok,le_50km
300648,8,ROSEMEAD,ROSEMEAD,SCE,66,4,,,,,66,4,False,False,False,0,ok,le_50km
300105,8,WALNUT,INDUSTRY,SCE,230,5,,,,,230,5,False,True,False,1,ok,le_50km
310204,8,EL NIDO,HAWTHORNE,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_50km
306369,8,LA MIRADA,LA MIRADA,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_50km
