src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
305885,308786,2.6403312702118797,16,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,2.6403312702118797,True
301543,305885,13.908968336482276,100,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,13.908968336482276,True
305885,306444,2.216206826624751,15,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,2.216206826624751,True
303099,305885,6.251641361333832,30,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,6.251641361333832,True
301637,305885,6.340881804609914,40,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,6.340881804609914,True
302297,305885,13.278635893135775,101,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,13.278635893135775,True
301100,305885,13.771251560211534,79,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757,13.771251560211534,True
301745,305885,2.4179240349452273,25,accepted,300.0,1000.0,306444,STANHILL,610.7736148288211,1552.306249582754,2.4179240349452273,False
306844,308786,19.215094953868032,175,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,19.215094953868032,True
301543,308786,13.298525912902978,97,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,13.298525912902978,True
306444,308786,0.5803725849260367,6,accepted,300.0,1000.0,,,,,0.5803725849260367,False
303099,308786,5.814942112687938,31,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,5.814942112687938,True
301637,308786,5.7304393810306165,37,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,5.7304393810306165,True
308786,309663,16.2686845632156,137,accepted,300.0,1000.0,,,,,16.2686845632156,False
302297,308786,12.668193469556478,98,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,12.668193469556478,True
301100,308786,13.160809136632235,76,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,13.160809136632235,True
301745,308786,1.982818528837312,25,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,1.982818528837312,True
308786,309758,17.02301638342037,124,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,502.24851425658267,17.02301638342037,True
306060,306844,26.877626514127957,175,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987322,16482.26563555769,26.877626514127957,False
303169,306844,15.640860546952387,101,accepted,300.0,1000.0,,,,,15.640860546952387,False
306844,308540,21.1824453124015,110,blocked_by_near_substation,300.0,1000.0,304450,HARBORGEN,92.64880905457912,19633.41060864246,21.1824453124015,True
306844,308806,1.3958202934805441,11,accepted,300.0,1000.0,,,,,1.3958202934805441,False
300408,306844,50.11118649225084,302,blocked_by_near_substation,300.0,1000.0,300105,WALNUT,193.8184176191819,48252.61083054092,50.11118649225084,True
305984,306844,49.952946387968815,269,blocked_by_near_substation,300.0,1000.0,307564,JOSE,43.330792141920675,40878.279360245266,49.952946387968815,True
301543,306844,9.725182912840022,54,blocked_by_near_substation,300.0,1000.0,310204,EL NIDO,179.03570298322637,6271.750062935519,9.725182912840022,True
306444,306844,18.790970510280903,174,blocked_by_near_substation,300.0,1000.0,309156,FELTON,94.75686731619956,7618.075127352846,18.790970510280903,True
304073,306844,15.863246306507913,83,accepted,300.0,1000.0,,,,,15.863246306507913,False
301637,306844,14.45745248942253,109,blocked_by_near_substation,300.0,1000.0,309156,FELTON,94.75686731619956,7618.075127352846,14.45745248942253,True
306844,308581,17.515883321878306,97,blocked_by_near_substation,300.0,1000.0,308806,MOBILOIL,151.66741502069428,1244.1911406107765,17.515883321878306,True
306844,308471,6.450313407837931,39,blocked_by_near_substation,300.0,1000.0,308806,MOBILOIL,151.03650197213074,1260.894548192288,6.450313407837931,True
300105,306844,48.36949387081934,281,accepted,300.0,1000.0,307564,JOSE,763.7472531073961,40662.382909495645,48.36949387081934,False
306844,310179,14.29844836856116,87,blocked_by_near_substation,300.0,1000.0,308806,MOBILOIL,151.66741502069428,1244.1911406107765,14.29844836856116,True
301745,306844,17.40179660969173,181,blocked_by_near_substation,300.0,1000.0,305885,LA BREA,80.1938029846316,16581.792365408073,17.40179660969173,True
306844,309758,6.868222611780003,32,accepted,300.0,1000.0,,,,,6.868222611780003,False
306060,306369,27.076129991357554,186,accepted,300.0,1000.0,300232,CENTER,459.9691419036726,18721.66503184689,27.076129991357554,False
306279,306369,28.916114965836854,228,accepted,300.0,1000.0,,,,,28.916114965836854,False
301614,306369,32.46875320511561,234,accepted,300.0,1000.0,300232,CENTER,459.9691419036726,18721.66503184689,32.46875320511561,False
305984,306369,42.85183037942791,272,blocked_by_near_substation,300.0,1000.0,307564,JOSE,43.330792141920675,33777.16335170437,42.85183037942791,True
