Stage,Crew_ID,Crew_Origin_ID,Substation_ID,Start_Time,End_Time,Duration,Travel_Time
Stage4_SanFernando_betweenness-first,3,D02,301558,0.2435238787950405,3.5816830709210628,3.3381591921260223,0.2435238787950405
Stage4_SanFernando_betweenness-first,4,D02,309042,0.0465929262122769,1.9714823909870947,1.9248894647748178,0.0465929262122769
Stage4_SanFernando_betweenness-first,5,D02,301194,0.1233462462209327,5.157661736424822,5.034315490203889,0.1233462462209327
Stage4_SanFernando_betweenness-first,6,D02,306060,0.1682713952256681,1.3051039331827332,1.1368325379570652,0.1682713952256681
Stage4_SanFernando_betweenness-first,7,D02,308494,0.1872992599389124,8.975960657759515,8.788661397820603,0.1872992599389124
Stage4_SanFernando_betweenness-first,8,D02,310199,0.4156700277454568,29.5684962182667,29.152826190521242,0.4156700277454568
Stage4_SanFernando_betweenness-first,9,D02,305984,0.2766566541556225,2.32727719275484,2.0506205385992176,0.2766566541556225
Stage4_SanFernando_betweenness-first,10,D02,307693,0.4134109793579708,32.00641467673552,31.593003697377544,0.4134109793579708
Stage4_SanFernando_betweenness-first,11,D02,303371,0.2884444026584378,3.9122843750223493,3.6238399723639114,0.2884444026584378
Stage4_SanFernando_betweenness-first,12,D03,310527,0.0640797955016547,2.573797341153777,2.5097175456521224,0.0640797955016547
Stage4_SanFernando_betweenness-first,13,D04,309843,0.2828040889681025,1.812414834475159,1.5296107455070564,0.2828040889681025
Stage4_SanFernando_betweenness-first,14,D04,306768,0.2252064427569911,3.9716938712133296,3.7464874284563385,0.2252064427569911
Stage4_SanFernando_betweenness-first,15,D04,303620,0.1815666350864873,6.629125492441858,6.447558857355371,0.1815666350864873
Stage4_SanFernando_betweenness-first,16,D04,300648,0.5267080897862638,1.873021880530998,1.346313790744734,0.5267080897862638
Stage4_SanFernando_betweenness-first,17,D04,309569,0.1476775688884651,19.22482593168573,19.077148362797264,0.1476775688884651
Stage4_SanFernando_betweenness-first,18,D04,300232,0.5742725052316217,1.6103764798508364,1.0361039746192147,0.5742725052316217
Stage4_SanFernando_betweenness-first,19,D04,300493,0.1810631386104234,11.379938006368368,11.198874867757945,0.1810631386104234
Stage4_SanFernando_betweenness-first,20,D04,307512,0.2433781497916179,8.679732547499018,8.436354397707401,0.2433781497916179
Stage4_SanFernando_betweenness-first,21,D04,301636,0.1521644251288435,14.729624303803945,14.577459878675102,0.1521644251288435
Stage4_SanFernando_betweenness-first,22,D04,306489,0.220143657568028,29.793092496657128,29.5729488390891,0.220143657568028
Stage4_SanFernando_betweenness-first,23,D04,308269,0.428341388493546,1.8701798819237965,1.4418384934302504,0.428341388493546
Stage4_SanFernando_betweenness-first,24,D04,304073,0.5110016898071095,1.728844064306327,1.2178423744992175,0.5110016898071095
Stage4_SanFernando_betweenness-first,25,D04,308206,0.2798600662196588,2.2504874010205924,1.9706273348009338,0.2798600662196588
Stage4_SanFernando_betweenness-first,26,D04,301541,0.5105949944473888,1.8566094320311137,1.346014437583725,0.5105949944473888
Stage4_SanFernando_betweenness-first,27,D04,303899,0.2728454375148147,2.556642613516314,2.283797176001499,0.2728454375148147
Stage4_SanFernando_betweenness-first,28,D04,301156,0.3432094004302999,1.4493703206109518,1.106160920180652,0.3432094004302999
Stage4_SanFernando_betweenness-first,29,D04,300829,0.4208140167635789,7.8381159677243835,7.4173019509608045,0.4208140167635789
Stage4_SanFernando_betweenness-first,30,D04,301214,0.220143657568028,30.78737025627365,30.567226598705624,0.220143657568028
Stage4_SanFernando_betweenness-first,31,D04,304040,0.4111930315978428,4.681605811464348,4.270412779866506,0.4111930315978428
Stage4_SanFernando_betweenness-first,32,D04,308991,0.2535104899807856,6.945434763363181,6.691924273382395,0.2535104899807856
Stage4_SanFernando_degree-first,0,D01,300232,0.2356848759373909,1.2717888505566055,1.0361039746192147,0.2356848759373909
Stage4_SanFernando_degree-first,1,D02,306060,0.1682713952256681,1.3051039331827332,1.1368325379570652,0.1682713952256681
Stage4_SanFernando_degree-first,2,D02,309042,0.0465929262122769,1.9714823909870947,1.9248894647748178,0.0465929262122769
Stage4_SanFernando_degree-first,3,D02,300105,0.3240646639605162,1.6242347779665087,1.3001701140059925,0.3240646639605162
Stage4_SanFernando_degree-first,4,D02,300429,0.2704071705823979,15.260375198940768,14.98996802835837,0.2704071705823979
Stage4_SanFernando_degree-first,5,D02,301105,0.2571593411381854,1.5239408242710237,1.2667814831328383,0.2571593411381854
Stage4_SanFernando_degree-first,6,D02,301558,0.2435238787950405,3.5816830709210628,3.3381591921260223,0.2435238787950405
Stage4_SanFernando_degree-first,7,D02,308494,0.1872992599389124,8.975960657759515,8.788661397820603,0.1872992599389124
Stage4_SanFernando_degree-first,8,D02,310199,0.4156700277454568,29.5684962182667,29.152826190521242,0.4156700277454568
Stage4_SanFernando_degree-first,9,D02,300648,0.1943803926702792,1.5406941834150132,1.346313790744734,0.1943803926702792
Stage4_SanFernando_degree-first,10,D02,301194,0.1233462462209327,5.157661736424822,5.034315490203889,0.1233462462209327
Stage4_SanFernando_degree-first,11,D02,305984,0.2766566541556225,2.32727719275484,2.0506205385992176,0.2766566541556225
Stage4_SanFernando_degree-first,12,D03,303371,0.2736435263073748,3.8974834986712863,3.6238399723639114,0.2736435263073748
Stage4_SanFernando_degree-first,13,D04,307693,0.1578621167706032,31.750865814148145,31.593003697377544,0.1578621167706032
Stage4_SanFernando_degree-first,14,D04,309569,0.1476775688884651,19.22482593168573,19.077148362797264,0.1476775688884651
Stage4_SanFernando_degree-first,15,D04,306489,0.220143657568028,29.793092496657128,29.5729488390891,0.220143657568028
Stage4_SanFernando_degree-first,16,D04,308269,0.428341388493546,1.8701798819237965,1.4418384934302504,0.428341388493546
Stage4_SanFernando_degree-first,17,D04,301541,0.5105949944473888,1.8566094320311137,1.346014437583725,0.5105949944473888
Stage4_SanFernando_degree-first,18,D04,301156,0.3432094004302999,1.4493703206109518,1.106160920180652,0.3432094004302999
Stage4_SanFernando_degree-first,19,D04,304073,0.5110016898071095,1.728844064306327,1.2178423744992175,0.5110016898071095
Stage4_SanFernando_degree-first,20,D04,306768,0.2252064427569911,3.9716938712133296,3.7464874284563385,0.2252064427569911
Stage4_SanFernando_degree-first,21,D04,301636,0.1521644251288435,14.729624303803945,14.577459878675102,0.1521644251288435
Stage4_SanFernando_degree-first,22,D04,300829,0.4208140167635789,7.8381159677243835,7.4173019509608045,0.4208140167635789
Stage4_SanFernando_degree-first,23,D04,310527,0.3567726177126968,2.866490163364819,2.5097175456521224,0.3567726177126968
Stage4_SanFernando_degree-first,24,D04,303620,0.1815666350864873,6.629125492441858,6.447558857355371,0.1815666350864873
Stage4_SanFernando_degree-first,25,D04,307512,0.2433781497916179,8.679732547499018,8.436354397707401,0.2433781497916179
Stage4_SanFernando_degree-first,26,D04,309843,0.2828040889681025,1.812414834475159,1.5296107455070564,0.2828040889681025
Stage4_SanFernando_degree-first,27,D04,300493,0.1810631386104234,11.379938006368368,11.198874867757945,0.1810631386104234
Stage4_SanFernando_degree-first,28,D04,308206,0.2798600662196588,2.2504874010205924,1.9706273348009338,0.2798600662196588
Stage4_SanFernando_degree-first,29,D04,303899,0.2728454375148147,2.556642613516314,2.283797176001499,0.2728454375148147
Stage4_SanFernando_degree-first,30,D04,301214,0.220143657568028,30.78737025627365,30.567226598705624,0.220143657568028
Stage4_SanFernando_degree-first,31,D04,304040,0.4111930315978428,4.681605811464348,4.270412779866506,0.4111930315978428
Stage4_SanFernando_degree-first,32,D04,308991,0.2535104899807856,6.945434763363181,6.691924273382395,0.2535104899807856
Stage4_SanFernando_closeness-first,0,D01,309042,0.0293090807826954,1.9541985455575133,1.9248894647748178,0.0293090807826954
Stage4_SanFernando_closeness-first,1,D02,300105,0.3240646639605162,1.6242347779665087,1.3001701140059925,0.3240646639605162
Stage4_SanFernando_closeness-first,2,D02,300429,0.2704071705823979,15.260375198940768,14.98996802835837,0.2704071705823979
Stage4_SanFernando_closeness-first,3,D02,308494,0.1872992599389124,8.975960657759515,8.788661397820603,0.1872992599389124
Stage4_SanFernando_closeness-first,4,D02,301105,0.2571593411381854,1.5239408242710237,1.2667814831328383,0.2571593411381854
Stage4_SanFernando_closeness-first,5,D02,300232,0.2371825217203012,1.2732864963395158,1.0361039746192147,0.2371825217203012
Stage4_SanFernando_closeness-first,6,D02,306060,0.1682713952256681,1.3051039331827332,1.1368325379570652,0.1682713952256681
Stage4_SanFernando_closeness-first,7,D02,301194,0.1233462462209327,5.157661736424822,5.034315490203889,0.1233462462209327
Stage4_SanFernando_closeness-first,8,D02,310527,0.0496051556906579,2.55932270134278,2.5097175456521224,0.0496051556906579
