tract_id,scenario,peak_outage_prob
6037214505,Northridge,0.274
6037214600,Northridge,0.277
6037214700,Northridge,0.279
6037214800,Northridge,0.279
6037214902,Northridge,0.266
6037214903,Northridge,0.22300000000000003
6037214904,Northridge,0.23500000000000001
6037215101,Northridge,0.28
6037215102,Northridge,0.278
6037216100,Northridge,0.26
6037216201,Northridge,0.253
6037216202,Northridge,0.255
6037216301,Northridge,0.255
6037216302,Northridge,0.255
6037216401,Northridge,0.255
6037216402,Northridge,0.255
6037216700,Northridge,0.255
6037216800,Northridge,0.255
6037216901,Northridge,0.255
6037216902,Northridge,0.255
6037217001,Northridge,0.255
6037217002,Northridge,0.255
6037217101,Northridge,0.255
6037217102,Northridge,0.255
6037217200,Northridge,0.255
6037218110,Northridge,0.20900000000000002
6037218120,Northridge,0.16300000000000003
6037218210,Northridge,0.255
6037218220,Northridge,0.25
6037218300,Northridge,0.255
6037218400,Northridge,0.255
6037218500,Northridge,0.255
6037218600,Northridge,0.255
6037218701,Northridge,0.249
6037218702,Northridge,0.249
6037218800,Northridge,0.178
6037218900,Northridge,0.175
6037219010,Northridge,0.169
6037219020,Northridge,0.14900000000000002
6037219300,Northridge,0.22400000000000003
6037219500,Northridge,0.249
6037219700,Northridge,0.255
6037219800,Northridge,0.255
6037219901,Northridge,0.255
6037219902,Northridge,0.255
6037220000,Northridge,0.255
6037220100,Northridge,0.255
6037221110,Northridge,0.032
6037221120,Northridge,0.032
6037221210,Northridge,0.019
6037221220,Northridge,0.021
6037221302,Northridge,0.101
6037221303,Northridge,0.017
6037221304,Northridge,0.12200000000000001
6037221401,Northridge,0.11300000000000002
6037221402,Northridge,0.094
6037221500,Northridge,0.018
6037221601,Northridge,0.021
6037221602,Northridge,0.022000000000000002
6037221710,Northridge,0.029
6037221810,Northridge,0.021
6037221820,Northridge,0.027
6037221900,Northridge,0.021
6037222001,Northridge,0.10500000000000001
6037222002,Northridge,0.095
6037222100,Northridge,0.018
6037222200,Northridge,0.019
6037222500,Northridge,0.016
6037222600,Northridge,0.019
6037222700,Northridge,0.021
6037224010,Northridge,0.097
6037224020,Northridge,0.079
6037224200,Northridge,0.063
6037224310,Northridge,0.04
6037224320,Northridge,0.041
6037224410,Northridge,0.04
6037224420,Northridge,0.046
6037224600,Northridge,0.04
6037224701,Northridge,0.038000000000000006
6037224702,Northridge,0.037000000000000005
6037226001,Northridge,0.095
6037226002,Northridge,0.092
6037226410,Northridge,0.075
6037226420,Northridge,0.075
6037226701,Northridge,0.04
6037226702,Northridge,0.045
6037227010,Northridge,0.049
6037227020,Northridge,0.046
6037228100,Northridge,0.036000000000000004
6037228210,Northridge,0.037000000000000005
6037228220,Northridge,0.024
6037228310,Northridge,0.032
6037228320,Northridge,0.022000000000000002
6037228410,Northridge,0.030000000000000002
6037228420,Northridge,0.021
6037228500,Northridge,0.02
6037228600,Northridge,0.021
6037228710,Northridge,0.018000000000000002
6037228720,Northridge,0.034
6037228800,Northridge,0.052000000000000005
6037228900,Northridge,0.038000000000000006
6037229100,Northridge,0.011
6037229200,Northridge,0.019
6037229300,Northridge,0.018
6037229410,Northridge,0.008
6037229420,Northridge,0.011
6037231100,Northridge,0.025
6037231210,Northridge,0.017
6037231220,Northridge,0.019
6037231301,Northridge,0.014
6037231302,Northridge,0.012
6037231400,Northridge,0.08000000000000002
6037231500,Northridge,0.07300000000000001
6037231601,Northridge,0.01
6037231602,Northridge,0.012
6037231603,Northridge,0.015000000000000001
6037231710,Northridge,0.018
6037231720,Northridge,0.019
6037231800,Northridge,0.02
6037231901,Northridge,0.017
6037231902,Northridge,0.018
6037232110,Northridge,0.0
6037232120,Northridge,0.015000000000000001
6037232200,Northridge,0.0
6037232300,Northridge,0.0
6037232401,Northridge,0.0
6037232402,Northridge,0.0
6037232500,Northridge,0.0
6037232601,Northridge,0.0
6037232602,Northridge,0.0
6037232701,Northridge,0.0
6037232702,Northridge,0.002
6037232800,Northridge,0.002
6037234001,Northridge,0.12300000000000001
6037234002,Northridge,0.095
6037234200,Northridge,0.179
6037234301,Northridge,0.14400000000000002
6037234302,Northridge,0.10500000000000001
6037234501,Northridge,0.0
6037234502,Northridge,0.083
6037234600,Northridge,0.0
6037234700,Northridge,0.001
6037234800,Northridge,0.016
6037234901,Northridge,0.013000000000000001
6037234902,Northridge,0.004
6037235100,Northridge,0.066
6037235201,Northridge,0.034
6037235202,Northridge,0.034
6037236001,Northridge,0.255
6037236101,Northridge,0.21800000000000003
6037236102,Northridge,0.198
6037236203,Northridge,0.253
6037236204,Northridge,0.252
6037236205,Northridge,0.255
6037236206,Northridge,0.255
6037236400,Northridge,0.21500000000000002
6037237101,Northridge,0.001
6037237102,Northridge,0.011
6037237201,Northridge,0.001
6037237202,Northridge,0.008
6037237300,Northridge,0.034
6037237401,Northridge,0.021
6037237402,Northridge,0.026000000000000002
6037237500,Northridge,0.014
6037237600,Northridge,0.023
6037237710,Northridge,0.023
6037237720,Northridge,0.034
6037237800,Northridge,0.034
6037237900,Northridge,0.034
6037238000,Northridge,0.034
6037238100,Northridge,0.034
6037238200,Northridge,0.034
6037238310,Northridge,0.034
6037238320,Northridge,0.034
6037238400,Northridge,0.034
6037239201,Northridge,0.017
6037239202,Northridge,0.023
6037239310,Northridge,0.036000000000000004
6037239320,Northridge,0.043000000000000003
6037239330,Northridge,0.043000000000000003
6037239501,Northridge,0.043000000000000003
6037239502,Northridge,0.043000000000000003
6037239601,Northridge,0.043000000000000003
6037239602,Northridge,0.043000000000000003
6037239701,Northridge,0.043000000000000003
6037239702,Northridge,0.043000000000000003
6037239801,Northridge,0.043000000000000003
6037239802,Northridge,0.043000000000000003
6037240010,Northridge,0.043000000000000003
6037240020,Northridge,0.043000000000000003
6037240200,Northridge,0.043000000000000003
6037240301,Northridge,0.043000000000000003
6037240302,Northridge,0.034
6037240401,Northridge,0.034
6037240402,Northridge,0.034
6037240500,Northridge,0.043000000000000003
6037240600,Northridge,0.043000000000000003
6037240700,Northridge,0.043000000000000003
6037240800,Northridge,0.043000000000000003
6037240901,Northridge,0.043000000000000003
6037240902,Northridge,0.043000000000000003
6037241001,Northridge,0.043000000000000003
6037241002,Northridge,0.043000000000000003
6037241110,Northridge,0.043000000000000003
6037241120,Northridge,0.043000000000000003
6037241201,Northridge,0.034
6037241202,Northridge,0.034
6037241300,Northridge,0.034
6037241400,Northridge,0.043000000000000003
6037242000,Northridge,0.043000000000000003
6037242100,Northridge,0.043000000000000003
6037242201,Northridge,0.043000000000000003
6037242202,Northridge,0.043000000000000003
6037242300,Northridge,0.043000000000000003
