"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037113428","Census Tract 1134.28; Los Angeles County; California","1105","215","0","13","14","24","32","46","43","42","115","74","14","22","45","43","733","236","98","75","11","17",
"1400000US06037115101","Census Tract 1151.01; Los Angeles County; California","1963","233","0","13","21","23","89","60","27","28","79","54","278","101","661","226","792","150","16","21","0","13",
"1400000US06037115103","Census Tract 1151.03; Los Angeles County; California","22","23","0","13","0","13","0","13","4","7","4","6","0","13","0","13","14","22","0","13","0","13",
"1400000US06037115104","Census Tract 1151.04; Los Angeles County; California","2256","276","0","13","143","91","177","147","575","250","498","123","368","116","277","135","191","77","27","33","0","13",
"1400000US06037115202","Census Tract 1152.02; Los Angeles County; California","2138","302","0","19","0","19","73","58","162","70","217","120","305","129","272","92","1073","289","36","48","0","19",
"1400000US06037115203","Census Tract 1152.03; Los Angeles County; California","1189","174","0","13","32","41","31","40","155","126","132","78","160","105","383","179","171","122","10","17","115","106",
"1400000US06037115204","Census Tract 1152.04; Los Angeles County; California","1780","267","0","13","13","21","113","92","513","276","146","101","319","115","283","183","312","107","45","63","36","47",
"1400000US06037115301","Census Tract 1153.01; Los Angeles County; California","1749","201","0","13","94","131","170","97","71","54","159","81","271","112","672","122","266","125","0","13","46","53",
"1400000US06037115302","Census Tract 1153.02; Los Angeles County; California","1078","132","0","13","45","33","0","13","62","37","43","32","286","91","251","87","327","97","12","12","52","38",
"1400000US06037115401","Census Tract 1154.01; Los Angeles County; California","2037","164","0","19","7","12","46","32","42","32","420","115","514","138","404","139","430","146","133","91","41","41",
